Sales_Order_No,Doc_Type,Order_Date,Delivery_Date,Invoice_Date,Payment_Date,Customer_ID,Customer_Name,City,State,Country,Customer_Type,Material_Code,Material_Desc,Category,Plant,Shipping_Point,Division,Sales_Rep,Quantity,Unit_Price_INR,Discount_Pct,Net_Value_INR,COGS_INR,Gross_Profit_INR,Profit_Margin_Pct,Delivery_Days,Payment_Days,Order_Status,Month,Quarter,Year
SO-2024001,ZEX,2024-01-13,2024-01-24,2024-01-26,,C011,Global Tech Corp,New York,NY,US,Export,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP03,20,SR001-Rahul Sharma,9,9014.0,8.12,74538.26,45900,28638.26,38.42,11,,Open,January,Q1,2024
SO-2024002,ZOR,2024-04-21,2024-05-01,2024-05-06,2024-06-13,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP02,30,SR003-Arjun Singh,2,8790.59,8.59,16070.56,10200,5870.56,36.53,10,38.0,Payment Received,April,Q2,2024
SO-2024003,ZEX,2024-03-22,2024-04-07,2024-04-10,,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1001,Mechanical,Mechanical,PL02-Pune,SP01,20,SR003-Arjun Singh,10,14734.46,9.16,133844.95,90000,43844.95,32.76,16,,Invoiced,March,Q1,2024
SO-2024004,ZOR,2024-01-23,2024-02-09,2024-02-14,2024-02-21,C010,ITC Limited,Kolkata,West Bengal,IN,Domestic,MAT-1005,Raw Material,Raw Material,PL02-Pune,SP03,10,SR001-Rahul Sharma,25,1154.18,3.52,27839.46,18000,9839.46,35.34,17,7.0,Payment Received,January,Q1,2024
SO-2024005,OR,2024-05-28,2024-06-02,2024-06-04,,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1004,Electrical,Electrical,PL02-Pune,SP01,30,SR003-Arjun Singh,7,3524.57,5.44,23329.58,14700,8629.58,36.99,5,,Invoiced,May,Q2,2024
SO-2024006,ZEX,2024-11-07,2024-11-15,2024-11-20,,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1002,Mechanical,Mechanical,PL03-Bangalore,SP03,30,SR002-Priya Patel,16,8283.34,4.55,126498.55,81600,44898.55,35.49,8,,Cancelled,November,Q4,2024
SO-2024007,ZEX,2024-01-29,2024-02-08,2024-02-09,,C011,Global Tech Corp,New York,NY,US,Export,MAT-1006,Electrical,Electrical,PL03-Bangalore,SP03,20,SR002-Priya Patel,21,18183.14,0.79,378813.18,226800,152013.18,40.13,10,,Open,January,Q1,2024
SO-2024008,ZEX,2024-07-21,2024-08-07,2024-08-09,2024-08-25,C011,Global Tech Corp,New York,NY,US,Export,MAT-1008,Mechanical,Mechanical,PL03-Bangalore,SP02,30,SR004-Meena Nair,9,5921.96,6.74,49707.33,32400,17307.33,34.82,17,16.0,Payment Received,July,Q3,2024
SO-2024009,ZOR,2024-03-11,2024-03-30,2024-04-03,,C006,Mahindra & Mahindra,Chennai,Tamil Nadu,IN,Domestic,MAT-1004,Electrical,Electrical,PL03-Bangalore,SP02,30,SR001-Rahul Sharma,49,3349.74,1.32,161977.37,102900,59077.37,36.47,19,,Invoiced,March,Q1,2024
SO-2024010,ZOR,2024-11-01,2024-11-18,2024-11-23,,C007,Bajaj Auto Ltd,Pune,Maharashtra,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL03-Bangalore,SP02,30,SR003-Arjun Singh,36,12949.4,0.14,465536.26,259200,206336.26,44.32,17,,Invoiced,November,Q4,2024
SO-2024011,ZOR,2024-08-10,2024-08-18,2024-08-22,2024-08-22,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1005,Raw Material,Raw Material,PL03-Bangalore,SP01,30,SR003-Arjun Singh,47,1297.65,3.16,59062.03,33840,25222.03,42.7,8,0.0,Payment Received,August,Q3,2024
SO-2024012,ZEX,2024-11-07,2024-11-16,2024-11-18,,C011,Global Tech Corp,New York,NY,US,Export,MAT-1009,Electrical,Electrical,PL01-Mumbai,SP03,20,SR004-Meena Nair,49,34098.13,11.44,1479634.63,1029000,450634.63,30.46,9,,Open,November,Q4,2024
SO-2024013,OR,2024-07-04,2024-07-16,2024-07-18,2024-07-21,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP03,10,SR002-Priya Patel,16,9194.46,11.36,130394.55,81600,48794.55,37.42,12,3.0,Payment Received,July,Q3,2024
SO-2024014,ZEX,2024-10-08,2024-10-16,2024-10-19,2024-11-21,C011,Global Tech Corp,New York,NY,US,Export,MAT-1008,Mechanical,Mechanical,PL03-Bangalore,SP03,10,SR003-Arjun Singh,39,6080.82,2.54,231124.73,140400,90724.73,39.25,8,33.0,Payment Received,October,Q4,2024
SO-2024015,ZOR,2024-08-12,2024-08-31,2024-09-04,2024-09-11,C007,Bajaj Auto Ltd,Pune,Maharashtra,IN,Domestic,MAT-1006,Electrical,Electrical,PL03-Bangalore,SP01,10,SR001-Rahul Sharma,16,17706.68,4.06,271813.09,172800,99013.09,36.43,19,7.0,Payment Received,August,Q3,2024
SO-2024016,ZEX,2024-04-27,2024-05-02,2024-05-03,2024-06-27,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1001,Mechanical,Mechanical,PL01-Mumbai,SP03,10,SR005-Vikram Rao,22,14409.43,2.86,307953.53,198000,109953.53,35.7,5,55.0,Payment Received,April,Q2,2024
SO-2024017,OR,2024-05-04,2024-05-22,2024-05-26,2024-06-07,C010,ITC Limited,Kolkata,West Bengal,IN,Domestic,MAT-1008,Mechanical,Mechanical,PL03-Bangalore,SP01,30,SR001-Rahul Sharma,7,5787.24,5.17,38415.2,25200,13215.2,34.4,18,12.0,Payment Received,May,Q2,2024
SO-2024018,OR,2024-06-22,2024-06-28,2024-06-30,2024-07-12,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL01-Mumbai,SP01,20,SR005-Vikram Rao,13,12365.31,1.68,158044.99,93600,64444.99,40.78,6,12.0,Payment Received,June,Q2,2024
SO-2024019,OR,2024-11-29,2024-12-19,2024-12-20,2024-12-25,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1001,Mechanical,Mechanical,PL02-Pune,SP01,10,SR004-Meena Nair,49,16159.57,2.0,776016.11,441000,335016.11,43.17,20,5.0,Payment Received,November,Q4,2024
SO-2024020,ZOR,2024-05-15,2024-06-01,2024-06-04,2024-07-01,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL02-Pune,SP01,10,SR003-Arjun Singh,45,13123.17,11.95,520001.97,324000,196001.97,37.69,17,27.0,Payment Received,May,Q2,2024
SO-2024021,ZOR,2024-10-23,2024-11-12,2024-11-13,,C004,Wipro Ltd,Hyderabad,Telangana,IN,Domestic,MAT-1001,Mechanical,Mechanical,PL03-Bangalore,SP01,10,SR005-Vikram Rao,21,14378.62,7.01,280783.89,189000,91783.89,32.69,20,,Open,October,Q4,2024
SO-2024022,ZOR,2024-02-05,2024-02-10,2024-02-12,2024-03-08,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1003,Electrical,Electrical,PL03-Bangalore,SP01,20,SR005-Vikram Rao,8,24007.27,6.84,178928.84,105600,73328.84,40.98,5,25.0,Payment Received,February,Q1,2024
SO-2024023,OR,2024-06-10,2024-06-21,2024-06-23,2024-08-04,C010,ITC Limited,Kolkata,West Bengal,IN,Domestic,MAT-1009,Electrical,Electrical,PL02-Pune,SP02,20,SR001-Rahul Sharma,46,34899.47,3.19,1554206.08,966000,588206.08,37.85,11,42.0,Payment Received,June,Q2,2024
SO-2024024,OR,2024-11-14,2024-12-05,2024-12-06,,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1008,Mechanical,Mechanical,PL01-Mumbai,SP02,20,SR002-Priya Patel,35,5891.84,3.18,199651.78,126000,73651.78,36.89,21,,Open,November,Q4,2024
SO-2024025,ZOR,2024-12-26,2025-01-07,2025-01-12,2025-03-04,C008,Sun Pharma,Ahmedabad,Gujarat,IN,Domestic,MAT-1009,Electrical,Electrical,PL03-Bangalore,SP01,10,SR003-Arjun Singh,42,36026.94,8.01,1391863.65,882000,509863.65,36.63,12,51.0,Payment Received,December,Q4,2024
SO-2024026,ZOR,2024-10-10,2024-10-17,2024-10-20,2024-11-07,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL02-Pune,SP03,20,SR003-Arjun Singh,39,8343.55,4.11,312009.83,198900,113109.83,36.25,7,18.0,Payment Received,October,Q4,2024
SO-2024027,OR,2024-11-20,2024-12-06,2024-12-09,,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL02-Pune,SP03,30,SR004-Meena Nair,1,8500.28,1.57,8366.84,5100,3266.84,39.05,16,,Invoiced,November,Q4,2024
SO-2024028,OR,2024-02-27,2024-03-03,2024-03-05,2024-04-08,C009,HDFC Bank,Delhi,Delhi,IN,Domestic,MAT-1001,Mechanical,Mechanical,PL01-Mumbai,SP02,20,SR001-Rahul Sharma,3,16127.84,6.99,45001.45,27000,18001.45,40.0,5,34.0,Payment Received,February,Q1,2024
SO-2024029,ZOR,2024-12-15,2024-12-25,2024-12-26,2025-01-17,C006,Mahindra & Mahindra,Chennai,Tamil Nadu,IN,Domestic,MAT-1004,Electrical,Electrical,PL01-Mumbai,SP01,10,SR004-Meena Nair,50,3618.94,10.5,161953.75,105000,56953.75,35.17,10,22.0,Payment Received,December,Q4,2024
SO-2024030,OR,2024-06-19,2024-07-05,2024-07-07,,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1003,Electrical,Electrical,PL01-Mumbai,SP01,20,SR003-Arjun Singh,11,23498.34,1.3,255128.81,145200,109928.81,43.09,16,,Open,June,Q2,2024
SO-2024031,OR,2024-04-24,2024-04-27,2024-04-29,2024-05-24,C005,HCL Technologies,Noida,Uttar Pradesh,IN,Domestic,MAT-1004,Electrical,Electrical,PL03-Bangalore,SP02,30,SR005-Vikram Rao,22,3471.27,0.83,75731.68,46200,29531.68,39.0,3,25.0,Payment Received,April,Q2,2024
SO-2024032,OR,2024-02-29,2024-03-11,2024-03-13,2024-04-19,C006,Mahindra & Mahindra,Chennai,Tamil Nadu,IN,Domestic,MAT-1001,Mechanical,Mechanical,PL02-Pune,SP02,30,SR005-Vikram Rao,17,14336.08,7.16,226266.25,153000,73266.25,32.38,11,37.0,Payment Received,February,Q1,2024
SO-2024033,ZOR,2024-10-22,2024-10-31,2024-11-03,2024-11-05,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL03-Bangalore,SP03,30,SR002-Priya Patel,46,12184.9,6.24,525535.37,331200,194335.37,36.98,9,2.0,Payment Received,October,Q4,2024
SO-2024034,OR,2024-02-05,2024-02-18,2024-02-23,2024-03-14,C006,Mahindra & Mahindra,Chennai,Tamil Nadu,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL03-Bangalore,SP02,20,SR004-Meena Nair,43,12926.43,8.64,507828.51,309600,198228.51,39.03,13,20.0,Payment Received,February,Q1,2024
SO-2024035,ZEX,2024-10-10,2024-10-17,2024-10-19,,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1005,Raw Material,Raw Material,PL03-Bangalore,SP03,20,SR004-Meena Nair,43,1309.27,8.13,51722.58,30960,20762.58,40.14,7,,Open,October,Q4,2024
SO-2024036,OR,2024-06-04,2024-06-16,2024-06-18,2024-07-15,C009,HDFC Bank,Delhi,Delhi,IN,Domestic,MAT-1001,Mechanical,Mechanical,PL01-Mumbai,SP03,20,SR002-Priya Patel,38,15614.99,3.87,570424.02,342000,228424.02,40.04,12,27.0,Payment Received,June,Q2,2024
SO-2024037,ZEX,2024-05-25,2024-06-13,2024-06-18,2024-07-09,C011,Global Tech Corp,New York,NY,US,Export,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP01,10,SR001-Rahul Sharma,6,9118.49,9.01,49779.48,30600,19179.48,38.53,19,21.0,Payment Received,May,Q2,2024
SO-2024038,OR,2024-08-31,2024-09-05,2024-09-09,2024-10-05,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1004,Electrical,Electrical,PL01-Mumbai,SP01,30,SR001-Rahul Sharma,41,3627.23,8.62,135896.75,86100,49796.75,36.64,5,26.0,Payment Received,August,Q3,2024
SO-2024039,ZEX,2024-08-05,2024-08-15,2024-08-17,,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP02,10,SR004-Meena Nair,45,8735.4,0.6,390723.97,229500,161223.97,41.26,10,,Invoiced,August,Q3,2024
